,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:11.433333333,414,235,,,,,,
1,2021-04-08 18:44:15,2021-04-08 18:44:24.743253931,386,235,,,,,,
2,2021-04-08 18:44:30,2021-04-08 18:44:38.568452309,327,237,,,,,,
3,2021-04-08 18:44:45,2021-04-08 18:44:53.267142835,544,169,,,,,,
4,2021-04-08 18:45:00,2021-04-08 18:45:07.034285670,484,145,,,,,,
5,2021-04-08 18:45:15,2021-04-08 18:45:20.368055509,485,156,,,,,,
6,2021-04-08 18:45:30,2021-04-08 18:45:38.502380946,494,169,,,,,,
7,2021-04-08 18:45:45,2021-04-08 18:45:51.613095241,402,187,,,,,,
8,2021-04-08 18:46:00,2021-04-08 18:46:07.749999872,391,146,,,,,,
9,2021-04-08 18:46:15,2021-04-08 18:46:21.812500011,343,222,,,,,,
10,2021-04-08 18:46:30,2021-04-08 18:46:34.991666624,323,265,,,,,,
11,2021-04-08 18:46:45,2021-04-08 18:46:51.132142879,402,187,,,,,,
12,2021-04-08 18:52:00,2021-04-08 18:52:05.278273792,484,145,,,,,,
13,2021-04-08 18:52:15,2021-04-08 18:52:21.501851861,464,162,,,,,,
14,2021-04-08 18:52:30,2021-04-08 18:52:38.076190464,467,185,,,,,,
15,2021-04-08 18:52:45,2021-04-08 18:52:51.969642848,494,169,,,,,,
16,2021-04-08 18:53:00,2021-04-08 18:53:07.938888917,492,185,,,,,,
17,2021-04-08 18:53:15,2021-04-08 18:53:22.751700699,484,145,,,,,,
18,2021-04-08 18:53:30,2021-04-08 18:53:36.636904768,512,170,,,,,,
19,2021-04-08 18:53:45,2021-04-08 18:53:51.700680338,484,145,,,,,,
20,2021-04-08 18:48:00,2021-04-08 18:48:06.187500032,323,265,,,,,,
21,2021-04-08 18:48:15,2021-04-08 18:48:23.500000000,386,201,,,,,,
22,2021-04-08 18:48:30,2021-04-08 18:48:36.866666688,400,219,,,,,,
23,2021-04-08 18:48:45,2021-04-08 18:48:55.088888875,452,166,,,,,,
24,2021-04-08 18:49:00,2021-04-08 18:49:09.958333312,309,254,,,,,,
25,2021-04-08 18:49:15,2021-04-08 18:49:24.342857114,402,187,,,,,,
26,2021-04-08 18:49:30,2021-04-08 18:49:34.972222208,423,168,,,,,,
27,2021-04-08 18:49:45,2021-04-08 18:49:52.266666650,374,188,,,,,,
28,2021-04-08 18:50:00,2021-04-08 18:50:08.142857131,391,146,,,,,,
29,2021-04-08 18:50:15,2021-04-08 18:50:21.266666650,391,146,,,,,,
30,2021-04-08 18:50:30,2021-04-08 18:50:38.059523925,391,146,,,,,,
31,2021-04-08 18:50:45,2021-04-08 18:50:54.361111168,452,166,,,,,,
