,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:03,2021-04-08 18:44:04.000000000,377.2517708621392,215.3448505475092,393.0,159.0,323.0,265.0,414.0,235.0
1,2021-04-08 18:44:06,2021-04-08 18:44:08.000000000,360.6898910882503,210.49926413496144,355.0,209.0,343.0,222.0,386.0,201.0
2,2021-04-08 18:44:09,2021-04-08 18:44:10.500000000,336.59615236978766,252.01418243682485,323.0,265.0,339.0,250.0,355.0,234.0
3,2021-04-08 18:44:12,2021-04-08 18:44:12.833333333,397.0076217743001,201.36566576934612,402.0,187.0,374.0,188.0,414.0,235.0
4,2021-04-08 18:44:15,2021-04-08 18:44:16.250000000,356.86768627972197,199.85307239919285,391.0,146.0,327.0,237.0,323.0,265.0
5,2021-04-08 18:44:18,2021-04-08 18:44:20.000000000,359.3569784024192,218.68704201439647,327.0,237.0,402.0,187.0,355.0,234.0
6,2021-04-08 18:44:21,2021-04-08 18:44:21.666666667,319.64877589410077,252.0161151769904,309.0,254.0,323.0,265.0,327.0,237.0
7,2021-04-08 18:44:24,2021-04-08 18:44:25.000000085,366.9483435726367,201.73687779798885,393.0,169.0,309.0,254.0,386.0,201.0
8,2021-04-08 18:44:27,2021-04-08 18:44:28.500000000,403.11501965277574,178.45164575877618,423.0,168.0,386.0,201.0,393.0,169.0
9,2021-04-08 18:44:30,2021-04-08 18:44:30.874999872,391.5740286144467,198.56911299303107,423.0,168.0,323.0,265.0,339.0,250.0
10,2021-04-08 18:44:33,2021-04-08 18:44:33.666666667,325.67476254263573,253.47522782912677,323.0,265.0,309.0,254.0,355.0,234.0
11,2021-04-08 18:44:36,2021-04-08 18:44:36.750000000,388.5555005856211,201.5049237521755,423.0,168.0,323.0,265.0,339.0,250.0
12,2021-04-08 18:44:39,2021-04-08 18:44:39.750000000,544.817132822194,183.0085103645883,528.0,185.0,510.0,157.0,629.0,213.0
13,2021-04-08 18:44:42,2021-04-08 18:44:43.249999957,378.0626142295031,211.77666045293168,423.0,168.0,339.0,250.0,355.0,234.0
