,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:10.750000000,350.0,242.0,414,235,309,254,327,237
1,2021-04-08 18:44:20,2021-04-08 18:44:30.385416704,319.6666666666667,252.0,309,254,323,265,327,237
2,2021-04-08 18:44:40,2021-04-08 18:44:51.131111117,429.3333333333333,173.66666666666666,443,186,452,166,393,169
3,2021-04-08 18:45:00,2021-04-08 18:45:09.713333248,521.0,153.0,509,146,510,157,544,156
4,2021-04-08 18:45:20,2021-04-08 18:45:27.416666688,517.3333333333334,155.0,533,162,509,146,510,157
5,2021-04-08 18:45:40,2021-04-08 18:45:50.283333291,447.6666666666667,197.0,528,185,413,159,402,247
6,2021-04-08 18:46:00,2021-04-08 18:46:09.106060629,361.3333333333333,222.0,386,235,343,222,355,209
7,2021-04-08 18:46:20,2021-04-08 18:46:32.541666688,348.6666666666667,251.33333333333334,309,254,414,235,323,265
8,2021-04-08 18:46:40,2021-04-08 18:46:53.448809509,406.0,174.66666666666666,423,168,402,187,393,169
9,2021-04-08 18:52:00,2021-04-08 18:52:10.088888875,503.0,185.66666666666666,514,187,528,185,467,185
10,2021-04-08 18:52:20,2021-04-08 18:52:24.821428480,486.0,179.33333333333334,452,166,514,187,492,185
11,2021-04-08 18:52:40,2021-04-08 18:52:46.924999979,462.3333333333333,179.0,452,166,443,186,492,185
12,2021-04-08 18:53:00,2021-04-08 18:53:12.668571443,499.3333333333333,174.66666666666666,492,185,512,170,494,169
13,2021-04-08 18:53:20,2021-04-08 18:53:28.194047590,518.0,180.66666666666666,514,187,528,185,512,170
14,2021-04-08 18:53:40,2021-04-08 18:53:48.479166592,465.3333333333333,164.33333333333334,440,146,464,162,492,185
15,2021-04-08 18:48:00,2021-04-08 18:48:11.083333291,405.3333333333333,233.66666666666666,414,235,402,247,400,219
16,2021-04-08 18:48:20,2021-04-08 18:48:27.700000000,680.6666666666666,203.0,679,224,694,222,669,163
17,2021-04-08 18:48:40,2021-04-08 18:48:52.645833344,403.3333333333333,181.0,443,186,374,188,393,169
18,2021-04-08 18:49:00,2021-04-08 18:49:06.815476224,415.6666666666667,150.33333333333334,440,146,393,159,414,146
19,2021-04-08 18:49:20,2021-04-08 18:49:28.975000064,390.0,180.0,393,159,391,146,386,235
20,2021-04-08 18:49:40,2021-04-08 18:49:47.041666688,431.3333333333333,149.66666666666666,440,146,414,146,440,157
21,2021-04-08 18:50:00,2021-04-08 18:50:12.722222208,405.0,208.33333333333334,413,159,402,247,400,219
22,2021-04-08 18:50:20,2021-04-08 18:50:28.638888875,405.0,208.33333333333334,413,159,402,247,400,219
23,2021-04-08 18:50:40,2021-04-08 18:50:53.545454507,447.6666666666667,197.0,402,247,413,159,528,185
