,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path_b_av,path1_av_i,path2_av_i,path3_av_i,path3_av_i_av,first_2
377,long_path,lp2,10s,ignore,6,gaus_80,"[13.24775378980064, 8.712157894674167]","[2.064454765399837, 1.064501093789357]","[7.589838702127908, 2.0967064744856176]",7.634015752442795,"[12.70113498280137, 10.349017512560811]","[2.4017718023228563, 1.526812594496591]","[7.061683581152654, 3.9004800057771565]",7.38819678875896,[13.549140998935627],[2.880231697437092],[8.620837262085733],8.350069986152818,2.064454765399837
378,long_path,lp2,10s,ignore,6,gaus_normal,"[13.30944767065909, 8.57942927767492]","[2.1060798118008166, 1.0405670806320586]","[7.680526230411342, 2.1479639304250444]",7.698684570957082,"[12.70008080400403, 10.08889766717301]","[2.066505188347634, 1.307936284077169]","[7.056963398365671, 3.7324500308955684]",7.274516463572444,[13.554064646896489],[2.7298802022722564],[8.65647288234967],8.313472577172805,2.1060798118008166
373,long_path,lp2,10s,ignore,3,gaus_80,"[13.621194085338558, 8.516897336093392]","[2.155645579973955, 1.0943637730845628]","[7.388947503584449, 2.8600293673898722]",7.721929056298987,"[13.10202310455372, 9.953711378217049]","[2.3386181893357336, 1.3069375112613169]","[6.434082507980333, 3.933776760030149]",7.291574600623261,[13.861968474431867],[3.27764398284186],[8.544713587460683],8.56144201491147,2.155645579973955
376,long_path,lp2,10s,ignore,6,average,"[13.37942155844734, 8.561429704902572]","[2.1687256715048413, 1.1129635762865269]","[7.725321265432097, 2.1046002041524323]",7.757822831794759,"[12.73196953620287, 9.850786768102397]","[1.7988038776276276, 1.2042799447444663]","[6.983227335390946, 3.0454510229837766]",7.171333583073815,[13.567603559003448],[2.581236768768769],[8.722662586419755],8.290500971397323,2.1687256715048413
374,long_path,lp2,10s,ignore,3,gaus_normal,"[13.749728857952517, 8.514625672315418]","[2.173191058014448, 1.1397286706850696]","[7.584433711270809, 2.8620694802401467]",7.835784542412591,"[13.197140972476495, 8.58929020799702]","[2.4055573749813086, 1.3783591034392808]","[6.252032555055013, 4.01915337453222]",7.284910300837605,[13.956419595785226],[3.107722291276746],[8.614394268589276],8.559512051883749,2.173191058014448
372,long_path,lp2,10s,ignore,3,average,"[13.801633225114, 8.532395372301389]","[2.302055671504839, 1.2465162625210007]","[7.803097098765431, 2.835146000400313]",7.9689286651280895,"[13.075170832499166, 9.94768058965919]","[2.3920322897897903, 1.5305272050107712]","[6.407247222222224, 3.7768093736695487]",7.291483448170394,[13.983027867089314],[2.890393759926593],[8.801700390946502],8.558374005987469,2.302055671504839
375,long_path,lp2,10s,ignore,3,gaus_top,"[13.544355706595486, 9.24162401283745]","[2.3168701159492833, 1.1398982009356915]","[7.270764728395063, 2.912689145511161]",7.710663516979944,"[13.36042674174174, 8.52171654717563]","[3.692199984984985, 2.4851588476377064]","[5.389165679012345, 3.936622684102136]",7.480597468579691,[14.311524455566678],[4.621121261428096],[9.373208736625514],9.435284817873429,2.3168701159492833
379,long_path,lp2,10s,ignore,6,gaus_top,"[14.009529262151041, 9.322684850566393]","[2.4084994567901234, 1.1831230536172845]","[7.044103728395062, 3.4994980764839285]",7.820710815778742,"[13.819674519519518, 10.910273137826366]","[4.067565975975976, 1.5392551479766652]","[6.536462098765431, 4.686423717597571]",8.141234198086975,[14.859712285396506],[4.646966461127794],[9.047126353909466],9.517935033477922,2.4084994567901234
368,long_path,lp2,10s,ignore,1,average,"[13.184364706595487, 8.161930706309905]","[2.454644449282616, 1.5555690071470203]","[7.775937283950619, 2.5610906836986294]",7.804982146609574,"[12.680030005005005, 9.856328252419898]","[3.6945800834167497, 2.076924730908542]","[6.520001604938271, 4.905433188522682]",7.631537231120009,[13.716575476921367],[4.349830079245914],[9.00334144032922],9.023248998832168,2.454644449282616
380,long_path,lp2,10s,ignore,12,average,"[13.607687456595487, 8.124978608192679]","[2.553345685393725, 1.2081738111380274]","[8.104200682098766, 2.211273413705724]",8.088411274695993,"[13.62029678803804, 7.970032897803577]","[2.247394041750083, 1.1872923910993467]","[7.751795226337446, 2.546195615440535]",7.873162018708522,[13.891364048187077],[3.008797539831498],[9.010652643004114],8.636938077007564,2.553345685393725
