,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:11.433333333,414,235,,,,,,
1,2021-04-08 18:44:15,2021-04-08 18:44:24.743253931,423,168,,,,,,
2,2021-04-08 18:44:30,2021-04-08 18:44:38.568452309,423,168,,,,,,
3,2021-04-08 18:44:45,2021-04-08 18:44:53.267142835,443,186,,,,,,
4,2021-04-08 18:45:00,2021-04-08 18:45:07.034285670,524,162,,,,,,
5,2021-04-08 18:45:15,2021-04-08 18:45:20.368055509,524,162,,,,,,
6,2021-04-08 18:45:30,2021-04-08 18:45:38.502380946,475,169,,,,,,
7,2021-04-08 18:45:45,2021-04-08 18:45:51.613095241,393,169,,,,,,
8,2021-04-08 18:46:00,2021-04-08 18:46:07.749999872,366,220,,,,,,
9,2021-04-08 18:46:15,2021-04-08 18:46:21.812500011,309,254,,,,,,
10,2021-04-08 18:46:30,2021-04-08 18:46:34.991666624,309,254,,,,,,
11,2021-04-08 18:46:45,2021-04-08 18:46:51.132142879,393,169,,,,,,
12,2021-04-08 18:52:00,2021-04-08 18:52:05.278273792,467,185,,,,,,
13,2021-04-08 18:52:15,2021-04-08 18:52:21.501851861,467,185,,,,,,
14,2021-04-08 18:52:30,2021-04-08 18:52:38.076190464,512,170,,,,,,
15,2021-04-08 18:52:45,2021-04-08 18:52:51.969642848,512,170,,,,,,
16,2021-04-08 18:53:00,2021-04-08 18:53:07.938888917,512,170,,,,,,
17,2021-04-08 18:53:15,2021-04-08 18:53:22.751700699,484,145,,,,,,
18,2021-04-08 18:53:30,2021-04-08 18:53:36.636904768,512,170,,,,,,
19,2021-04-08 18:53:45,2021-04-08 18:53:51.700680338,512,170,,,,,,
20,2021-04-08 18:48:00,2021-04-08 18:48:06.187500032,374,188,,,,,,
21,2021-04-08 18:48:15,2021-04-08 18:48:23.500000000,374,188,,,,,,
22,2021-04-08 18:48:30,2021-04-08 18:48:36.866666688,402,187,,,,,,
23,2021-04-08 18:48:45,2021-04-08 18:48:55.088888875,475,169,,,,,,
24,2021-04-08 18:49:00,2021-04-08 18:49:09.958333312,402,187,,,,,,
25,2021-04-08 18:49:15,2021-04-08 18:49:24.342857114,391,146,,,,,,
26,2021-04-08 18:49:30,2021-04-08 18:49:34.972222208,402,187,,,,,,
27,2021-04-08 18:49:45,2021-04-08 18:49:52.266666650,402,187,,,,,,
28,2021-04-08 18:50:00,2021-04-08 18:50:08.142857131,393,169,,,,,,
29,2021-04-08 18:50:15,2021-04-08 18:50:21.266666650,414,235,,,,,,
30,2021-04-08 18:50:30,2021-04-08 18:50:38.059523925,402,187,,,,,,
31,2021-04-08 18:50:45,2021-04-08 18:50:54.361111168,393,169,,,,,,
