,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:11.357142784,393,169,,,,,,
1,2021-04-08 18:44:20,2021-04-08 18:44:29.820000000,423,168,,,,,,
2,2021-04-08 18:44:40,2021-04-08 18:44:50.754629632,452,166,,,,,,
3,2021-04-08 18:45:00,2021-04-08 18:45:09.695000013,484,145,,,,,,
4,2021-04-08 18:45:20,2021-04-08 18:45:30.819444395,512,170,,,,,,
5,2021-04-08 18:45:40,2021-04-08 18:45:51.291666624,366,220,,,,,,
6,2021-04-08 18:46:00,2021-04-08 18:46:12.100000000,386,235,,,,,,
7,2021-04-08 18:46:20,2021-04-08 18:46:31.634920667,327,237,,,,,,
8,2021-04-08 18:46:40,2021-04-08 18:46:50.226190482,374,188,,,,,,
9,2021-04-08 18:52:00,2021-04-08 18:52:07.504365056,494,169,,,,,,
10,2021-04-08 18:52:20,2021-04-08 18:52:29.435714304,467,185,,,,,,
11,2021-04-08 18:52:40,2021-04-08 18:52:49.295669888,464,162,,,,,,
12,2021-04-08 18:53:00,2021-04-08 18:53:10.324999987,492,185,,,,,,
13,2021-04-08 18:53:20,2021-04-08 18:53:29.572222165,484,145,,,,,,
14,2021-04-08 18:53:40,2021-04-08 18:53:49.197619046,484,145,,,,,,
15,2021-04-08 18:48:00,2021-04-08 18:48:11.000000000,402,247,,,,,,
16,2021-04-08 18:48:20,2021-04-08 18:48:29.775000013,386,235,,,,,,
17,2021-04-08 18:48:40,2021-04-08 18:48:53.950000000,494,169,,,,,,
18,2021-04-08 18:49:00,2021-04-08 18:49:10.366666650,402,187,,,,,,
19,2021-04-08 18:49:20,2021-04-08 18:49:29.599999936,366,220,,,,,,
20,2021-04-08 18:49:40,2021-04-08 18:49:49.227777792,374,188,,,,,,
21,2021-04-08 18:50:00,2021-04-08 18:50:12.900000000,393,169,,,,,,
22,2021-04-08 18:50:20,2021-04-08 18:50:27.642857088,494,169,,,,,,
23,2021-04-08 18:50:40,2021-04-08 18:50:51.970238080,452,166,,,,,,
