,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:03.851851861,402,247,,,,,,
1,2021-04-08 18:44:10,2021-04-08 18:44:14.200000051,327,237,,,,,,
2,2021-04-08 18:44:20,2021-04-08 18:44:25.688095232,323,265,,,,,,
3,2021-04-08 18:44:30,2021-04-08 18:44:35.944444459,393,159,,,,,,
4,2021-04-08 18:44:40,2021-04-08 18:44:45.918518528,393,169,,,,,,
5,2021-04-08 18:44:50,2021-04-08 18:44:54.166666642,514,187,,,,,,
6,2021-04-08 18:45:00,2021-04-08 18:45:04.971428608,485,156,,,,,,
7,2021-04-08 18:45:10,2021-04-08 18:45:13.380952393,494,169,,,,,,
8,2021-04-08 18:45:20,2021-04-08 18:45:23.214285751,440,146,,,,,,
9,2021-04-08 18:45:30,2021-04-08 18:45:35.173333350,440,157,,,,,,
10,2021-04-08 18:45:40,2021-04-08 18:45:44.250000031,494,169,,,,,,
11,2021-04-08 18:45:50,2021-04-08 18:45:54.033333298,440,146,,,,,,
12,2021-04-08 18:46:00,2021-04-08 18:46:06.166666667,386,235,,,,,,
13,2021-04-08 18:46:10,2021-04-08 18:46:13.175000064,327,237,,,,,,
14,2021-04-08 18:46:20,2021-04-08 18:46:24.000000000,323,265,,,,,,
15,2021-04-08 18:46:30,2021-04-08 18:46:34.877777835,414,235,,,,,,
16,2021-04-08 18:46:40,2021-04-08 18:46:44.633333333,386,201,,,,,,
17,2021-04-08 18:46:50,2021-04-08 18:46:54.268518571,443,186,,,,,,
18,2021-04-08 18:52:00,2021-04-08 18:52:03.837500032,533,162,,,,,,
19,2021-04-08 18:52:10,2021-04-08 18:52:13.458333355,528,185,,,,,,
20,2021-04-08 18:52:20,2021-04-08 18:52:24.335714253,533,162,,,,,,
21,2021-04-08 18:52:30,2021-04-08 18:52:34.825396821,492,185,,,,,,
22,2021-04-08 18:52:40,2021-04-08 18:52:43.821428626,514,187,,,,,,
23,2021-04-08 18:52:50,2021-04-08 18:52:54.785714286,544,169,,,,,,
24,2021-04-08 18:53:00,2021-04-08 18:53:04.291666656,561,187,,,,,,
25,2021-04-08 18:53:10,2021-04-08 18:53:16.375000000,509,146,,,,,,
26,2021-04-08 18:53:20,2021-04-08 18:53:24.146258505,561,187,,,,,,
27,2021-04-08 18:53:30,2021-04-08 18:53:33.496296277,509,146,,,,,,
28,2021-04-08 18:53:40,2021-04-08 18:53:45.305555541,509,146,,,,,,
29,2021-04-08 18:53:50,2021-04-08 18:53:53.687499989,514,187,,,,,,
30,2021-04-08 18:48:00,2021-04-08 18:48:06.571428480,402,247,,,,,,
31,2021-04-08 18:48:10,2021-04-08 18:48:14.736111147,414,235,,,,,,
32,2021-04-08 18:48:20,2021-04-08 18:48:24.555555584,386,201,,,,,,
33,2021-04-08 18:48:30,2021-04-08 18:48:34.527777707,413,159,,,,,,
34,2021-04-08 18:48:40,2021-04-08 18:48:44.096938752,393,159,,,,,,
35,2021-04-08 18:48:50,2021-04-08 18:48:54.925000000,443,186,,,,,,
36,2021-04-08 18:49:00,2021-04-08 18:49:06.138888917,440,157,,,,,,
37,2021-04-08 18:49:10,2021-04-08 18:49:14.452380965,414,146,,,,,,
38,2021-04-08 18:49:20,2021-04-08 18:49:25.500000000,374,188,,,,,,
39,2021-04-08 18:49:30,2021-04-08 18:49:34.022222208,414,146,,,,,,
40,2021-04-08 18:49:40,2021-04-08 18:49:43.761904742,440,146,,,,,,
41,2021-04-08 18:49:50,2021-04-08 18:49:56.200000000,402,247,,,,,,
42,2021-04-08 18:50:00,2021-04-08 18:50:04.111111083,402,247,,,,,,
43,2021-04-08 18:50:10,2021-04-08 18:50:14.124999808,402,247,,,,,,
44,2021-04-08 18:50:20,2021-04-08 18:50:24.541666688,567,146,,,,,,
45,2021-04-08 18:50:30,2021-04-08 18:50:33.645833344,413,159,,,,,,
46,2021-04-08 18:50:40,2021-04-08 18:50:46.533333299,393,159,,,,,,
47,2021-04-08 18:50:50,2021-04-08 18:50:55.464285733,440,146,,,,,,
