,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:04.111111168,413,159,,,,,,
1,2021-04-08 18:44:10,2021-04-08 18:44:14.500000000,309,254,,,,,,
2,2021-04-08 18:44:20,2021-04-08 18:44:25.688095232,309,254,,,,,,
3,2021-04-08 18:44:30,2021-04-08 18:44:35.800000000,386,235,,,,,,
4,2021-04-08 18:44:40,2021-04-08 18:44:45.895238107,393,169,,,,,,
5,2021-04-08 18:44:50,2021-04-08 18:44:54.233333299,514,187,,,,,,
6,2021-04-08 18:45:00,2021-04-08 18:45:04.966666709,485,156,,,,,,
7,2021-04-08 18:45:10,2021-04-08 18:45:13.333333350,494,169,,,,,,
8,2021-04-08 18:45:20,2021-04-08 18:45:22.250000064,440,146,,,,,,
9,2021-04-08 18:45:30,2021-04-08 18:45:34.916666688,440,146,,,,,,
10,2021-04-08 18:45:40,2021-04-08 18:45:44.791666688,440,146,,,,,,
11,2021-04-08 18:45:50,2021-04-08 18:45:54.666666581,391,146,,,,,,
12,2021-04-08 18:46:00,2021-04-08 18:46:06.750000000,386,235,,,,,,
13,2021-04-08 18:46:10,2021-04-08 18:46:13.166666752,309,254,,,,,,
14,2021-04-08 18:46:20,2021-04-08 18:46:24.000000000,309,254,,,,,,
15,2021-04-08 18:46:30,2021-04-08 18:46:34.253333402,414,235,,,,,,
16,2021-04-08 18:46:40,2021-04-08 18:46:44.840000000,355,234,,,,,,
17,2021-04-08 18:46:50,2021-04-08 18:46:52.986111189,355,234,,,,,,
18,2021-04-08 18:52:00,2021-04-08 18:52:04.450000043,533,162,,,,,,
19,2021-04-08 18:52:10,2021-04-08 18:52:14.187500032,528,185,,,,,,
20,2021-04-08 18:52:20,2021-04-08 18:52:24.919642816,533,162,,,,,,
21,2021-04-08 18:52:30,2021-04-08 18:52:34.723809536,514,187,,,,,,
22,2021-04-08 18:52:40,2021-04-08 18:52:43.283333376,514,187,,,,,,
23,2021-04-08 18:52:50,2021-04-08 18:52:53.375000000,514,187,,,,,,
24,2021-04-08 18:53:00,2021-04-08 18:53:04.400000000,585,185,,,,,,
25,2021-04-08 18:53:10,2021-04-08 18:53:15.733333350,509,146,,,,,,
26,2021-04-08 18:53:20,2021-04-08 18:53:23.922619008,544,187,,,,,,
27,2021-04-08 18:53:30,2021-04-08 18:53:33.361111104,492,185,,,,,,
28,2021-04-08 18:53:40,2021-04-08 18:53:45.958333312,509,146,,,,,,
29,2021-04-08 18:53:50,2021-04-08 18:53:53.531249984,492,185,,,,,,
30,2021-04-08 18:48:00,2021-04-08 18:48:04.142856960,413,159,,,,,,
31,2021-04-08 18:48:10,2021-04-08 18:48:15.483333376,414,235,,,,,,
32,2021-04-08 18:48:20,2021-04-08 18:48:24.200000000,414,235,,,,,,
33,2021-04-08 18:48:30,2021-04-08 18:48:35.666666624,413,159,,,,,,
34,2021-04-08 18:48:40,2021-04-08 18:48:43.335714253,393,159,,,,,,
35,2021-04-08 18:48:50,2021-04-08 18:48:55.333333333,440,157,,,,,,
36,2021-04-08 18:49:00,2021-04-08 18:49:06.033333349,440,157,,,,,,
37,2021-04-08 18:49:10,2021-04-08 18:49:13.833333350,414,146,,,,,,
38,2021-04-08 18:49:20,2021-04-08 18:49:26.000000000,528,185,,,,,,
39,2021-04-08 18:49:30,2021-04-08 18:49:34.658333312,414,146,,,,,,
40,2021-04-08 18:49:40,2021-04-08 18:49:43.952380928,440,146,,,,,,
41,2021-04-08 18:49:50,2021-04-08 18:49:53.400000000,413,159,,,,,,
42,2021-04-08 18:50:00,2021-04-08 18:50:04.500000000,414,235,,,,,,
43,2021-04-08 18:50:10,2021-04-08 18:50:14.999999744,413,159,,,,,,
44,2021-04-08 18:50:20,2021-04-08 18:50:23.611111168,608,208,,,,,,
45,2021-04-08 18:50:30,2021-04-08 18:50:34.624999936,413,159,,,,,,
46,2021-04-08 18:50:40,2021-04-08 18:50:46.166666624,393,159,,,,,,
47,2021-04-08 18:50:50,2021-04-08 18:50:55.937500032,414,146,,,,,,
